source_set,sales_month,store_id,sales
current,2026-08-01,2716,88990.0
current,2026-08-01,2717,438230.0
current,2026-08-01,2722,152793.0
current,2026-08-01,2727,10900.0
current,2026-08-01,2742,85300.0
current,2026-08-01,2743,19280.0
current,2026-08-01,2744,116850.0
current,2026-08-01,2755,66880.0
current,2026-08-01,2757,39180.0
current,2026-08-01,2758,21800.0
current,2026-08-01,2762,30490.0
current,2026-08-01,2779,21800.0
current,2026-08-01,2783,94680.0
current,2026-08-01,2785,68400.0
current,2026-08-01,2797,70190.0
current,2026-08-01,2799,118730.0
current,2026-08-01,2800,68400.0
current,2026-08-01,2819,10900.0
current,2026-08-01,2824,56790.0
current,2026-08-01,2838,73130.0
current,2026-08-01,2843,13090.0
current,2026-08-01,2858,91200.0
current,2026-08-01,2860,76360.0
current,2026-08-01,2868,45870.0
current,2026-08-01,2879,34700.0
current,2026-08-01,2880,83030.0
current,2026-08-01,2881,33700.0
current,2026-08-01,2906,38180.0
current,2026-08-01,2907,22800.0
current,2026-08-01,2909,78340.0
current,2026-08-01,2919,53290.0
current,2026-08-01,2920,7690.0
current,2026-08-01,2925,105850.0
current,2026-08-01,2926,46640.0
current,2026-08-01,2935,38180.0
current,2026-08-01,2957,54290.0
current,2026-08-01,2974,148530.0
current,2026-08-01,2986,72880.0
current,2026-08-01,2987,33700.0
current,2026-08-01,3003,127909.0
current,2026-08-01,3015,77570.0
current,2026-08-01,3025,28280.0
current,2026-08-01,3038,46850.0
current,2026-08-01,3039,98890.0
current,2026-08-01,3042,18590.0
current,2026-08-01,3067,53540.0
current,2026-07-01,103,326260.0
current,2026-07-01,105,1426112.0
current,2026-07-01,106,2479941.2
current,2026-07-01,109,1704606.0
current,2026-07-01,112,1344470.71
current,2026-07-01,114,4501862.92
current,2026-07-01,115,4461035.75
current,2026-07-01,118,1944515.0
current,2026-07-01,134,214390.0
current,2026-07-01,138,3526853.0
current,2026-07-01,197,133203.0
current,2026-07-01,206,3648010.0
current,2026-07-01,215,1472724.0
current,2026-07-01,233,765154.0
current,2026-07-01,242,928834.2
current,2026-07-01,243,275700.0
current,2026-07-01,246,1518309.0
current,2026-07-01,249,892520.0
current,2026-07-01,251,4543526.84
current,2026-07-01,253,436800.0
current,2026-07-01,255,363273.0
current,2026-07-01,256,414850.0
current,2026-07-01,260,38180.0
current,2026-07-01,272,1141273.6
current,2026-07-01,273,377010.0
current,2026-07-01,282,256615.0
current,2026-07-01,286,182400.0
current,2026-07-01,292,2915136.0
current,2026-07-01,298,1129460.0
current,2026-07-01,305,360025.0
current,2026-07-01,308,624800.0
current,2026-07-01,310,874270.0
current,2026-07-01,313,1065860.0
current,2026-07-01,315,366800.0
current,2026-07-01,321,1695598.7
current,2026-07-01,329,2166333.0
current,2026-07-01,335,2404714.0
current,2026-07-01,337,2349370.0
current,2026-07-01,340,474750.0
current,2026-07-01,341,392710.0
current,2026-07-01,344,213280.0
current,2026-07-01,362,757979.5
current,2026-07-01,368,591690.0
current,2026-07-01,369,623436.33
current,2026-07-01,377,464938.0
current,2026-07-01,387,430730.0
current,2026-07-01,389,225140.0
current,2026-07-01,410,1091174.0
current,2026-07-01,412,118540.0
current,2026-07-01,413,567970.0
current,2026-07-01,414,756690.0
current,2026-07-01,417,66047.2
current,2026-07-01,420,284975.0
current,2026-07-01,422,198570.0
current,2026-07-01,452,552030.0
current,2026-07-01,484,545981.03
current,2026-07-01,498,1198751.5
current,2026-07-01,543,1200813.0
current,2026-07-01,544,372630.0
current,2026-07-01,545,288890.0
current,2026-07-01,586,222680.0
current,2026-07-01,627,1299928.77
current,2026-07-01,632,548210.0
current,2026-07-01,633,2790314.0
current,2026-07-01,645,3799286.2
current,2026-07-01,647,1448793.0
current,2026-07-01,651,466530.0
current,2026-07-01,653,920050.0
current,2026-07-01,655,285350.0
current,2026-07-01,656,491920.0
current,2026-07-01,660,488739.5
current,2026-07-01,661,1070236.0
current,2026-07-01,666,359770.0
current,2026-07-01,673,196050.0
current,2026-07-01,674,252860.0
current,2026-07-01,675,576688.0
current,2026-07-01,676,663980.0
current,2026-07-01,684,198820.0
current,2026-07-01,686,610807.72
current,2026-07-01,691,472440.0
current,2026-07-01,695,416908.0
current,2026-07-01,705,112790.0
current,2026-07-01,706,27800.0
current,2026-07-01,707,22800.0
current,2026-07-01,708,10900.0
current,2026-07-01,741,406215.0
current,2026-07-01,748,2319200.0
current,2026-07-01,754,879910.0
current,2026-07-01,780,373920.0
current,2026-07-01,844,653709.0
current,2026-07-01,859,62803.0
current,2026-07-01,865,72513.0
current,2026-07-01,1069,532346.0
current,2026-07-01,1071,26696.8
current,2026-07-01,1086,778920.0
current,2026-07-01,1103,278001.02
current,2026-07-01,1106,705530.0
current,2026-07-01,1110,402070.0
current,2026-07-01,1113,516127.0
current,2026-07-01,1179,31490.0
current,2026-07-01,1195,119480.0
current,2026-07-01,1196,1113503.0
current,2026-07-01,1345,236060.0
current,2026-07-01,1484,82570.0
current,2026-07-01,1558,13124.0
current,2026-07-01,1559,30490.0
current,2026-07-01,1563,420489.0
current,2026-07-01,1567,55770.0
current,2026-07-01,1616,384470.0
current,2026-07-01,1620,456450.0
current,2026-07-01,1621,180770.0
current,2026-07-01,1623,93470.0
current,2026-07-01,1768,168370.0
current,2026-07-01,1780,626370.0
current,2026-07-01,1785,552590.0
current,2026-07-01,1812,214430.0
current,2026-07-01,1999,444247.73
current,2026-07-01,2318,100890.0
current,2026-07-01,2359,191820.0
current,2026-07-01,2373,56500.0
current,2026-07-01,2441,420020.0
current,2026-07-01,2445,323990.0
current,2026-07-01,2465,480853.0
current,2026-07-01,2466,484380.0
current,2026-07-01,2501,366320.0
current,2026-07-01,2522,279330.0
current,2026-07-01,2530,389470.0
current,2026-07-01,2553,276640.0
current,2026-07-01,2585,56290.0
current,2026-07-01,2614,486314.0
current,2026-07-01,2615,219994.0
current,2026-07-01,2618,494955.0
current,2026-07-01,2633,353951.5
current,2026-07-01,2634,189670.0
current,2026-07-01,2647,217345.0
current,2026-07-01,2678,263510.0
current,2026-07-01,2680,116790.0
current,2026-07-01,2684,47390.0
current,2026-07-01,2685,172770.0
current,2026-07-01,2686,374610.0
current,2026-07-01,2713,172830.0
current,2026-07-01,2715,230310.0
current,2026-07-01,2716,94300.0
current,2026-07-01,2717,1008452.4
current,2026-07-01,2722,365230.0
current,2026-07-01,2727,79300.0
current,2026-07-01,2742,165810.0
current,2026-07-01,2743,185841.6
current,2026-07-01,2744,437970.0
current,2026-07-01,2755,218950.0
current,2026-07-01,2757,97680.0
current,2026-07-01,2758,120960.0
current,2026-07-01,2762,62790.0
current,2026-07-01,2779,112580.0
current,2026-07-01,2783,267862.0
current,2026-07-01,2785,112933.0
current,2026-07-01,2797,229520.0
current,2026-07-01,2799,449706.0
current,2026-07-01,2800,227640.0
current,2026-07-01,2824,255460.0
current,2026-07-01,2838,358573.0
current,2026-07-01,2843,111270.0
current,2026-07-01,2858,210113.0
current,2026-07-01,2860,303630.0
current,2026-07-01,2868,174020.0
current,2026-07-01,2879,109580.0
current,2026-07-01,2880,56750.0
current,2026-07-01,2881,156755.0
current,2026-07-01,2906,156213.0
current,2026-07-01,2907,261260.0
current,2026-07-01,2909,162640.0
current,2026-07-01,2919,374440.0
current,2026-07-01,2920,52970.0
current,2026-07-01,2925,184730.0
current,2026-07-01,2926,177980.0
current,2026-07-01,2935,185920.0
current,2026-07-01,2957,225160.0
current,2026-07-01,2974,211090.0
current,2026-07-01,2986,112120.0
current,2026-07-01,2987,267820.0
current,2026-07-01,3003,394603.0
current,2026-07-01,3015,346450.0
current,2026-07-01,3025,100160.0
current,2026-07-01,3038,118445.0
current,2026-07-01,3039,266820.0
current,2026-07-01,3042,30490.0
current,2026-07-01,3067,233750.0
last_year,2025-08-01,103,352400.0
last_year,2025-08-01,105,1873563.0
last_year,2025-08-01,106,1434555.0
last_year,2025-08-01,109,1513691.0
last_year,2025-08-01,112,711505.0
last_year,2025-08-01,114,4029595.81
last_year,2025-08-01,115,3585194.79
last_year,2025-08-01,118,1800701.63
last_year,2025-08-01,134,217100.0
last_year,2025-08-01,138,2623990.0
last_year,2025-08-01,197,88550.0
last_year,2025-08-01,206,3379840.0
last_year,2025-08-01,215,1049536.78
last_year,2025-08-01,233,666880.0
last_year,2025-08-01,242,627155.0
last_year,2025-08-01,243,222649.0
last_year,2025-08-01,246,1242390.0
last_year,2025-08-01,249,651150.0
last_year,2025-08-01,251,4029957.4
last_year,2025-08-01,253,174299.0
last_year,2025-08-01,255,359300.0
last_year,2025-08-01,256,309700.0
last_year,2025-08-01,260,83300.0
last_year,2025-08-01,272,894728.0
last_year,2025-08-01,273,209350.0
last_year,2025-08-01,282,147850.0
last_year,2025-08-01,286,136325.0
last_year,2025-08-01,292,2900627.0
last_year,2025-08-01,298,623300.0
last_year,2025-08-01,305,336500.0
last_year,2025-08-01,308,466899.0
last_year,2025-08-01,310,669000.0
last_year,2025-08-01,313,1039850.0
last_year,2025-08-01,315,492490.0
last_year,2025-08-01,321,1590900.0
last_year,2025-08-01,329,1638635.0
last_year,2025-08-01,335,1791150.93
last_year,2025-08-01,337,1520809.17
last_year,2025-08-01,340,615250.0
last_year,2025-08-01,341,453800.0
last_year,2025-08-01,344,209450.0
last_year,2025-08-01,362,645446.0
last_year,2025-08-01,368,497550.0
last_year,2025-08-01,369,680996.88
last_year,2025-08-01,377,398900.0
last_year,2025-08-01,387,240100.0
last_year,2025-08-01,389,80350.0
last_year,2025-08-01,410,596690.0
last_year,2025-08-01,412,152450.0
last_year,2025-08-01,413,594298.0
last_year,2025-08-01,414,402550.0
last_year,2025-08-01,417,43900.0
last_year,2025-08-01,420,245100.0
last_year,2025-08-01,422,86600.0
last_year,2025-08-01,452,470900.0
last_year,2025-08-01,484,317690.0
last_year,2025-08-01,498,1195350.0
last_year,2025-08-01,543,891999.0
last_year,2025-08-01,544,182600.0
last_year,2025-08-01,545,201450.0
last_year,2025-08-01,565,6700.0
last_year,2025-08-01,586,257100.0
last_year,2025-08-01,627,1170930.0
last_year,2025-08-01,632,569650.0
last_year,2025-08-01,633,2150440.0
last_year,2025-08-01,645,3594672.0
last_year,2025-08-01,647,1308230.0
last_year,2025-08-01,651,146975.0
last_year,2025-08-01,653,945500.0
last_year,2025-08-01,655,222250.0
last_year,2025-08-01,656,236950.0
last_year,2025-08-01,660,495250.0
last_year,2025-08-01,661,1093299.0
last_year,2025-08-01,666,182100.0
last_year,2025-08-01,673,130100.0
last_year,2025-08-01,674,95850.0
last_year,2025-08-01,675,497550.0
last_year,2025-08-01,676,363900.0
last_year,2025-08-01,684,164050.0
last_year,2025-08-01,686,590700.0
last_year,2025-08-01,691,253700.0
last_year,2025-08-01,695,355996.0
last_year,2025-08-01,705,25850.0
last_year,2025-08-01,706,54500.0
last_year,2025-08-01,707,44200.0
last_year,2025-08-01,708,8900.0
last_year,2025-08-01,741,216000.0
last_year,2025-08-01,748,1553965.0
last_year,2025-08-01,754,390150.0
last_year,2025-08-01,766,7700.0
last_year,2025-08-01,780,177800.0
last_year,2025-08-01,844,503200.0
last_year,2025-08-01,865,11950.0
last_year,2025-08-01,1069,228950.0
last_year,2025-08-01,1071,24350.0
last_year,2025-08-01,1086,619450.0
last_year,2025-08-01,1103,279750.0
last_year,2025-08-01,1106,551825.0
last_year,2025-08-01,1110,198500.0
last_year,2025-08-01,1113,323050.0
last_year,2025-08-01,1179,19650.0
last_year,2025-08-01,1195,108200.0
last_year,2025-08-01,1196,1048628.0
last_year,2025-08-01,1345,70300.0
last_year,2025-08-01,1484,69450.0
last_year,2025-08-01,1558,15900.0
last_year,2025-08-01,1559,36800.0
last_year,2025-08-01,1563,314648.0
last_year,2025-08-01,1616,272450.0
last_year,2025-08-01,1620,334050.0
last_year,2025-08-01,1621,129300.0
last_year,2025-08-01,1623,21100.0
last_year,2025-08-01,1768,205800.0
last_year,2025-08-01,1780,317300.0
last_year,2025-08-01,1785,440800.0
last_year,2025-08-01,1812,81250.0
last_year,2025-08-01,1999,341000.0
last_year,2025-08-01,2318,55850.0
last_year,2025-08-01,2329,1027990.0
last_year,2025-08-01,2359,145450.0
last_year,2025-08-01,2373,80949.08
last_year,2025-08-01,2441,190900.0
last_year,2025-08-01,2445,241350.0
last_year,2025-08-01,2465,333850.0
last_year,2025-08-01,2466,222500.0
last_year,2025-08-01,2501,249150.0
last_year,2025-08-01,2522,144700.0
last_year,2025-08-01,2530,116600.0
last_year,2025-08-01,2553,231700.0
last_year,2025-08-01,2585,89400.0
last_year,2025-08-01,2614,170650.0
last_year,2025-08-01,2615,106550.0
last_year,2025-08-01,2618,373150.0
last_year,2025-08-01,2633,165130.0
last_year,2025-08-01,2634,119900.0
last_year,2025-08-01,2640,94450.0
last_year,2025-08-01,2647,132250.0
last_year,2025-08-01,2678,166500.0
last_year,2025-08-01,2680,49050.0
last_year,2025-08-01,2684,46200.0
last_year,2025-08-01,2685,125300.0
last_year,2025-08-01,2686,325350.0
last_year,2025-08-01,2713,150650.0
last_year,2025-08-01,2715,146900.0
last_year,2025-08-01,2716,158700.0
last_year,2025-08-01,2722,457950.0
last_year,2025-08-01,2727,41750.0
last_year,2025-08-01,2742,121400.0
last_year,2025-08-01,2743,70900.0
last_year,2025-08-01,2744,372400.0
last_year,2025-08-01,2758,66050.0
last_year,2025-08-01,2762,43000.0
last_year,2025-08-01,2779,167850.0
last_year,2025-08-01,2783,151450.0
last_year,2025-08-01,2785,26350.0
last_year,2025-08-01,2800,107950.0
